,NomeParlamentar,Partido,datEmissao,ValorLiquido,TipoDespesa
51,Dagoberto Nogueira,PDT,01/02/20,"3496,1800000000003",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
52,Dagoberto Nogueira,PDT,01/02/20,"-3989,51",PASSAGEM AÉREA - SIGEPA
53,Dagoberto Nogueira,PDT,01/02/20,"295,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
54,Dagoberto Nogueira,PDT,01/02/20,"585,97",TELEFONIA
55,Dagoberto Nogueira,PDT,01/02/21,"3401,45",COMBUSTÍVEIS E LUBRIFICANTES.
56,Dagoberto Nogueira,PDT,01/02/21,"5233,42",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
57,Dagoberto Nogueira,PDT,01/02/21,"52,8",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
58,Dagoberto Nogueira,PDT,01/02/21,"7800,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
59,Dagoberto Nogueira,PDT,01/02/21,"823,3",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
60,Dagoberto Nogueira,PDT,01/02/21,"-6231,07",PASSAGEM AÉREA - SIGEPA
61,Dagoberto Nogueira,PDT,01/02/21,"315,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
62,Dagoberto Nogueira,PDT,01/02/21,"460,42",TELEFONIA
63,Dagoberto Nogueira,PDT,01/03/19,"2987,36",COMBUSTÍVEIS E LUBRIFICANTES.
64,Dagoberto Nogueira,PDT,01/03/19,"10000,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
65,Dagoberto Nogueira,PDT,01/03/19,"167,12",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
66,Dagoberto Nogueira,PDT,01/03/19,"10400,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
67,Dagoberto Nogueira,PDT,01/03/19,"6076,13",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
68,Dagoberto Nogueira,PDT,01/03/19,"13452,89",PASSAGEM AÉREA - RPA
69,Dagoberto Nogueira,PDT,01/03/19,"-2117,22",PASSAGEM AÉREA - SIGEPA
70,Dagoberto Nogueira,PDT,01/03/19,"886,63",TELEFONIA
71,Dagoberto Nogueira,PDT,01/03/20,"3864,21",COMBUSTÍVEIS E LUBRIFICANTES.
72,Dagoberto Nogueira,PDT,01/03/20,"10000,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
73,Dagoberto Nogueira,PDT,01/03/20,"10400,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
74,Dagoberto Nogueira,PDT,01/03/20,"4448,15",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
75,Dagoberto Nogueira,PDT,01/03/20,"-1425,89",PASSAGEM AÉREA - SIGEPA
76,Dagoberto Nogueira,PDT,01/03/20,"885,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
77,Dagoberto Nogueira,PDT,01/03/20,"953,48",TELEFONIA
78,Dagoberto Nogueira,PDT,01/03/21,"233,42",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
